Artist,Title,Lyrics,Tempo,Key,Loudness,Mode
Childish Gambino,Me and Your Mama,"[Intro]
I'm in love when we are smoking that la-la-la-la-la
I'm in love when we are smoking that la-la-la-la-la
I'm in love when we are smoking that la-la-la-la-la
I'm in love when we are smoking that la-la-la-la-la
I'm in love when we are smoking that la-la-la-la-la
I'm in love when we are smoking that la-la-la-la-la
I'm in love when we are smoking that la-la-la-la-la
I'm in love when we are smoking that la-la-la-la-la
[Chorus 1]
Do what you want
(I'm telling you…) Let me into your heart
[Verse 1]
Can't stand it, backhanded
They wanna see us falling apart
You know that I love you
So let me into you
[Chorus 2]
Let me into your heart
(Do you really love me? I'ma get you, girl, ahhh!)
[Verse 2]
This is the end of us
Sleeping with the moon and the stars
I know where you've been
You can see us far then near",117.996,5,-12.628,1
Tove Lo,No One Dies From Love,"[Verse 1]
We were so magical, why end this way?
I know you're furious, yeah, just like me
You got good reasons, but I do too
What really happened here? I wish I knew
[Pre-Chorus]
It escalated so fast
We yelled things we can't take back
It escalated too soon
I know what they say, I know that they say that
[Chorus]
No one dies from love
Guess I'll be the first
Will you remember us
Or are the memories too stained with blood now?
No one dies from love
Guess I'll be the first
Will you remember us
Or are the memories too stained with blood now?
[Verse 2]
I tried my best with you, you claim the same
Somehow, we're strangers, but share this pain
Keep writin' letters I'll never send
Don't want you movin' on when it's my end",121.099,0,-6.632,1
The Weeknd,Save Your Tears (with Ariana Grande) (Remix),"[Intro: The Weeknd & 
Ariana Grande
]
Ooh (
Ooh
)
Na-na, yeah
[Verse 1: The Weeknd]
I saw you dancing in a crowded room (Uh)
You look so happy when I'm not with you
But then you saw me, caught you by surprise
A single teardrop falling from your eye
[Refrain: The Weeknd & 
Ariana Grande
]
I don't know why I run away (
Oh
)
I make you cry when I run away (
Oh
)
[Pre-Chorus: The Weeknd]
Take me back 'cause I wanna stay
Save your tears for another
[Chorus: The Weeknd & 
Ariana Grande
]
Save your tears for another day (
Oh
)
Save your tears for another day (
Mm
)
[Verse 2: Ariana Grande]
Met you once under a Pisces moon
I kept my distance 'cause I know that you
Don't like when I'm with nobody else
I couldn't help it, I put you through hell",118.091,0,-4.645,1
Kid Travis,Strawberry Skies,"[Verse 1]
Can I, can I tell you a secret? Yeah
Girl, you brighten up my world
Say you love me like you mean it, yeah
Girl, I wanna hear you say it
Can't you tell I want you by my side?
So do you mind?
It's late, but let's take one more drive
Just you and I
[Chorus]
We're gone with the wind
Hair in your face
Put my hand on your waist
Strawberry skies all on your lips
'Cause I love how it taste
Hope that you catch me when I fall
No warning at all
When I'm not with you, I go through withdrawals
We're gone with the wind
Hair in your face
Put my hand on your waist
Strawberry skies all on your lips
'Cause I love how it taste
Hope that you catch me when I fall
No warning at all
When I'm not with you, I go through withdrawals (Oh)",89.887,11,-6.587,0
The Weeknd,Less Than Zero,"[Verse 1]
Remember I was your hero
, yeah
I'd wear your heart like a symbol
I couldn't save you from my darkest truth of all
I know
I'll always be less than zero
Oh, yeah
You tried your best with me, I know
I couldn't face you with my darkest truth of all
Oh
[Chorus]
'Cause I can't get it out of my head
No, I can't shake this feeling that crawls in my bed
I try to hide it, but I know you know me
I try to fight it, but I'd rather be free
Oh
[Verse 2]
Oh yeah
Can we meet in the middle?
Oh yeah
'Cause you were just like me before
Now you'd rather leavе me
Than to watch me die in your arms, oh",142.981,0,-5.55,1
Tame Impala,Let It Happen,"[Verse 1]
It's always around me, all this noise
But not nearly as loud as the voice saying
""Let it happen, let it happen (It's gonna feel so good)
Just let it happen, let it happen""
[Chorus]
All this running around trying to cover my shadow
A notion growing inside, now all the others seem shallow
All this running around bearing down on my shoulders
I can hear an alarm, must be morning
[Verse 2]
I heard about a whirlwind that's coming 'round
It's gonna carry off all that isn't bound
And when it happens, when it happens (I won't be holding on)
So let it happen, let it happen
[Chorus]
All this running around, I can't fight it much longer
Something's trying to get out and it's never been closer
If my take-off fails, make up some other story
But if I never come back, tell my mother I'm sorry
[Instrumental Bridge]",125.012,1,-5.875,0
Omar Apollo,Useless,"[Chorus]
'Cause I'm useless when you're stuck in my mind
I've been foolish, think of you all the time
Play some music like a harp in the sky
I'ma lose it if you're not by my side
[Verse 1]
I've been watchin' you and I've been tryna decide
If I could ever remind you of what you really liked
And I know it's not possible, but I wish you would try
'Cause it keeps on playing back in my head a million times
[Chorus]
'Cause I'm useless (Oh) when you're stuck in my mind
I've been foolish (Oh), think of you all the time
Play some music (Oh) like a harp in the sky
I'ma lose it (Oh) if you're not by my side (Side, yeah)
[Verse 2]
I've been losin' sleep and I've been thinking 'bout why
You used to tell me that I'm all that you need in your life
And you said I was your soulmate, but that was just a lie (Ooh)
It's alright, we're way too young to be givin' out advice
[Chorus]
'Cause I'm useless (Oh) when you're stuck in my mind
I've been foolish (Oh), think of you all the time
Play some music (Oh) like a harp in the sky
I'ma lose it (Oh) if you're not by my side (Side, yeah)",89.895,5,-7.609,1
Tame Impala,Eventually,"[Verse 1]
If only there could be another way to do this
'Cause it feels like murder to put your heart through this
I know I always said that I could never hurt you
Well, this is the very very last time I'm ever going to, ah
[Chorus]
But I know that I'll be happier and I know you will too
Said, I know that I'll be happier and I know you will too
Eventually, ah-ah-ah-ah-ah
Eventually, ah-ah-ah-ah-ah
[Verse 2]
Wish I could turn you back into a stranger
'Cause if I was never in your life, you wouldn't have to change it, ah
[Chorus]
But I know that I'll be happier and I know you will too
I said, I know that I'll be happier and I know you will too
Eventually, ah-ah-ah-ah-ah
Eventually, ah-ah-ah-ah-ah
And I know just what I've got to do and it's got to be soon
'Cause I know that I'll be happier and I know you will too
Eventually, ah-ah-ah-ah-ah
Eventually, ah-ah-ah-ah-ah
Eventually, ah-ah-ah-ah-ah
Eventually, ooh-ah-ah
Eventually, ah-ah-ah-ah-ah
Eventually, ah-ah-ah-ah-ah
Eventually
(Eventually)",77.935,9,-6.217,0
"Tyler, The Creator",BEST INTEREST,"[Verse 1]
Darling, darling, darling
It's no need to worry
It’s just a couple things
(Just a couple things on my brain, you know?)
If it's you and other
It's no need to worry (You don’t have to worry)
'Cause I can sleep between you
[Pre-Chorus]
I'm a third wheeler
I'm a side better
I'm a home wrecker
Give it up
I'm a third wheeler
I'm a side better
I'm a home wrecker
Give it up, give it up, give it up
[Chorus]
I’ll keep your, your best interest
I’ll keep your, your best interest
I'll keep your best interest
I’ll keep your best interest
[Verse 2]
I was, I was, I was, I was out here playing games
You was out here with a lame one
(I can play the side nigga role easy, but not for too long)
I'm the, I'm the, I'm the, I’m the side nigga
I gotta sneak around and hide with you
I wanna see you, give me five minutes
Paparazzi probably got like five pictures (Click-click-click-click)
(I won't tell anybody, it's our secret)
Top, top, top, top of the morning like yeehaw
I took my shot, this is B-ball, nigga
The team you play for is seesaw
So I know that it's fake when I see y'all
Don't wanna fuck what you got up
I would never blow your spot up
I know my place, I'm the landlord
I'll carry the weight 'til my hands sore
(We can't keep doing this)",98.265,11,-8.325,0
Doja Cat,Need to Know,"[Intro]
Yeah
[Chorus]
Wanna know what it's like (Like)
Baby, show me what it's like (Like)
I don't really got no type (Type)
I just wanna fuck all night
Yeah-yeah, oh-woah-woah (Oh, ooh, mmm)
Baby, I need to know, mmm (Yeah, need to know)
I just been fantasizin' (Size)
And we got a lotta time (Time)
Baby, come throw the pipe (Pipe)
Gotta know what it's like (Like)
Yeah-yeah, oh-woah-woah
Baby, I need to know, mmm
[Verse 1]
What's your size? (Size)
Add, subtract, divide ('Vide)
Daddy don't throw no curves (Curves)
Hold up, I'm goin' wide (Wide)
We could just start at ten (Ten)
Then we can go to five (Five)
I don't play with my pen (Pen)
I mean what I writе
Yeah-yeah, woah-woah-woah
I just can't help but bе sexual (Oh)
Tell me your schedule (Yeah)
I got a lotta new tricks for you, baby
Just sayin' I'm flexible (I will)
I do what I can to get you off (I will)
Might just fuck him with my makeup on (I will)
Eat it like I need an apron on (Yeah, oh)
Eat it 'til I need to change my thong (Yeah, ayy)
We could do it to your favorite song (Yeah, ayy)
Take a ride into the danger zone
You know my nigga be buggin' me
I just be wonderin' if you can fuck on me better
Itchin' for me like an ugly sweater
Need it in me like a Chuck E. need cheddar
I need to know",130.041,1,-6.509,1
Edward Maya,Stereo Love,"[Intro: Vika Jigulina]
When you gonna stop breaking my heart?
I don't wanna be another one
Praying for the things I never done
Don't let go, don't let go, don't, my love
[Verse: Vika Jigulina]
Can I get to your soul?
Can you get to my flow?
Can we promise we won't let go?
All the things that I need
All the things that you need
You can make it feel so real
[Pre-Chorus: Vika Jigulina & Edward Maya]
'Cause you can't deny, you've blown my mind
When I touch your body, I feel I'm losing control
'Cause you can't deny, you've blown my mind
When I see you, baby, I just don't wanna let go
[Chorus: Edward Maya]
I hate to see you cry, your smile is a beautiful lie
I hate to see you cry, my love is dying inside
[Post-Chorus: Edward Maya]
I can fix all those lies
Oh, baby, babe, I run, love, I'm running to you
You won't see me cry, I'm hiding inside
My heart is in pain, but I'm smiling for you",127.049,9,-5.359,1
Billy Idol,Eyes Without A Face,"[Verse 1: Billy Idol]
I'm all out of hope
One more bad break could bring a fall
When I'm far from home
Don't call me on the phone to tell me you're alone
It's easy to deceive
It's easy to tease, but hard to get release
[Chorus: Billy Idol & 
Perri Lister
]
(
Les yeux sans visage
) Eyes without a face
(
Les yeux sans visage
) Eyes without a face
(
Les yeux sans visage
) Eyes without a face
Got no human grace, your eyes without a face
[Post-Chorus]
Ooh, ch-ch
[Verse 2: Billy Idol]
I spent so much time
Believing all the lies to keep the dream alive
Now it makes me sad
It makes me mad at truth for loving what was you
[Chorus: Billy Idol & 
Perri Lister
]
(
Les yeux sans visage
) Eyes without a face
(
Les yeux sans visage
) Eyes without a face
(
Les yeux sans visage
) Eyes without a face
Got no human grace, your eyes without a face",85.563,9,-6.197,1
Beyoncé,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"[Intro: Kilo Ali]
America, America has a problem
[Verse 1: Kendrick Lamar]
(Lama)
Tourbillion watcher, pgLang caller, 9-11 slider
Look at my garage, it's synced up
Get the genie out the bottle and point at any model
(Lama)
What, wait, what? Ayy, what?
Go, Stink, fuck it up, go, Stink, fuck it up
Go, Stink, that's what's up, go, Stink, I'm in love
Hey, boo-boo, too much complexity to learn me from Google
My mama told me that the money outgrew you
My horoscope said I'm really out my noodle
I'm troublin', I'm puzzlin', it's sudoku
Say Bey, yes, America got a problem
Geeked up, choosy love, well, they chose violence
Universal, please don't play possum
I'm a businеss man doin' as follows
Truthfully, I be lyin' in my rap song
'Cause I always fail to mention I'd slap homiе
His career didn't come with no life insurance
Hope his day one fans got some facts on him
I'm an honorary Beyhive, let's see why
Them diamonds don't be fly, they all CGI
You better get it off your chest like breast reduction
If she stressed over you, she stressed for nothin'
Hold up, wait a minute
Even AI gotta practice clonin' Kendrick
The double entendre, the encore remnants
I bop like ten men, the opps need ten men
Billboard, they know (Out for her, ride or else)
After Hov, rightfully so (Bust for else, not us)
Simmer down, I go, I go (Culture, you got us, you got us)",126.015,1,-5.289,1
Dominic Fike,Come Here,"[Chorus]
Baby, come here
I get so lonely at night
[Verse]
Why can't you tell that I'm desperate?
Doesn't it show in my smile?
Why can't you tell that I'm bad for ya?
It doesn't show in your eyes
(Oh, cool) Oh, you're so cool
I wish I was you
So why can't you tell me
What you think I should do?
[Bridge]
So why can't you tell me
What you think I should do?
[Chorus]
Baby, come here
I get so lonely at night",81.154,6,-0.947,1
Arctic Monkeys,Fireside,"[Verse 1]
I can't explain but I wanna try
There's this image of you and I
And it goes dancing by
In the morning and in the night time
There's all these secrets that I can't keep
Like in my heart there's that hotel suite
And you lived there so long
It's kind of strange now you're gone
[Chorus]
I'm not sure if I should show you what I've found
Has it gone for good, or is it coming back around?
Isn't it hard to make up your mind
When you're losing and your fuse is fireside?
[Verse 2]
There's all those places we used to go
And I suspect you already know
But that place on memory lane you like still looks the same
But something about it's changed
[Chorus]
I'm not sure if I should show you what I've found
Has it gone for good, or is it coming back around?
Isn't it hard to make up your mind
When you're losing and your fuse is fireside?",100.033,9,-5.611,0
Cage The Elephant,Tokyo Smoke,"[Verse 1]
Hey man
Hand me down with the crooked back
What's your father's name? Boy, you don't know where you're at
Pick yourself up, you don't look so good
Maybe you should lay down
Taught me how to fall
But you never told me I was supposed to stay down
[Chorus]
Stick and move
Sharpen up the knife
Keep it tight
Stay between the lines
Make your mark
Take your own advice
Don't be surprised when you trip and stumble
I played the fool again
My old unfaithful friend
Stick and move
Sharpen up the knife
Don't be surprised if you can't stay between the lines
[Verse 2]
Quicksand color blind in the hourglass
All spun out 'cause you can't stop looking back
Better stay still, don't you make a move
What'd you hope to find here?
Taught me how to fall
But you never told me I was meant to die here",142.96,6,-3.058,0
