Artist,Title,Lyrics
The Toxic Avenger,Yellow Ferrari,"[Verse 1]
Your favorite color's yellow
What if I got you a yellow ferrari?
Could you drive me to the ocean, now?
Let's whip around in the yellow ferrari
Pressure, lucid dreamin' now
We'll drive around in a yellow ferrari
Nothing matters, windows down
We'll ride around in a yellow ferrari
[Chorus]
Why does this feel so real?
Why does this feel so real?
Why does this feel so real? (Real)
Why does this feel so real?
[Verse 2]
Sunset's always yellow
What if I got you a yellow ferrari?
No longer drivin' through the motions now
We'll disappear in a yellow ferrari
Never down, we're racin' now
We're whippin' 'round in a yellow ferrari (Ah)
Nothing matters, windows down
Just you and me in a yellow ferrari
[Chorus]
Why does this feel so real?
Why does this feel so real?
Why does this feel so real? (Real)
Why does this feel so real?
Why does this feel so real?
Why does this feel so real?
Why does this feel so real? (Real)
Why does this feel so real?"
"Tyler, The Creator",See You Again (feat. Kali Uchis),"[Intro: Tyler, The Creator]
Okay, okay, okay, okay, okay, okay, o-
[Verse 1: Tyler, The Creator]
You live in my dream state
Relocate my fantasy
I stay in reality
You live in my dream state
Any time I count sheep
That's the only time we make up, make up
You exist behind my eyelids, my eyelids
Now, I don't wanna wake up
[Pre-Chorus: Tyler, The Creator, 
with Kali 
Uchis
]
20/20, 20/20 
vision
Cupid hit me, cupid hit me with 
precision, eye
Wonder if you look 
both ways 
when you cross 
my mind
I said, I said
I'm 
sick of, sick of, sick of, sick of chasing
You're the one that's always running through my 
daydreams, I
I can only see 
your face
 when I close 
my eyes
So...
[Chorus: Kali Uchis & 
Tyler, The Creator
]
Can I get a kiss?
And can you make it last forever?
I said I'm 'bout to go to war (
Uh-huh
)
And I don't know if I'ma see you again
Can I get a kiss? (Can I?)
And can you make it last forever? (Can you?)
I said I'm 'bout to go to war (I'm 'bout to)
And I don't know if I'ma see you again
Ugh, switch it up
[Verse 2: Tyler, The Creator]
I said, okay, okay, okay, okey-dokey, my infatuation
Is translating to another form of what you call it? (Love)
Oh yeah, oh yeah, oh yeah, I ain't met you, I've been looking
Stop the waiting 'fore I stop the chasing, like an alcoholic
""You don't understand me""—what the fuck do you mean?
It's them rose-tinted cheeks, yeah, it's them dirt-colored eyes
Sugar-honey iced tea, bumblebee on the scene
Yeah, I'd give up my bakery to have a piece of your pie
Ugh!
[Pre-Chorus: Tyler, The Creator, 
with Kali Uchis
]
20/20, 20/20 
vision
Cupid hit me, cupid hit me with 
precision, eye
Wonder if you look 
both ways 
when you cross 
my mind
I said, I said
I'm 
sick of, sick of, sick of, sick of chasing
You're the one that's always running through my 
daydreams, I
I can only see 
your face
 when I close 
my eyes
So...
[Chorus: Kali Uchis]
Can I get a kiss? (Can I get a kiss?)
And can you make it last forever? (Make it last forever)
I said I'm 'bout to go to war ('Bout to go to war)
I don't know if I'ma see you again (See you again)
Can I get a kiss? (Can I?)
And can you make it last forever? (Can you?)
I said I'm 'bout to go to war ('Bout to)
And I don't know if I'ma see you again
[Outro: Tyler, The Creator & 
Kali Uchis
]
Okay, okay, okay, okay, okay, okay, okay, o—
(
La
 la, la la l
a la, la la
)
Okay, okay, okay, okay, okay, okay, okay, o—
(
La la, la la la, la la
)
Okay, okay, okay, okay, okay, okay, okay, o—
(
La la, la la la 
la, l
a la
La la, la la la la)
One more time?"
Kanye West,Jail,"[Intro: Kanye West]
Take what you want
Take everything
Take what you want
Take what you want
[Verse 1: Kanye West]
Better that I change my number so you can't explain
Violence in the night, violence in the night
Priors, priors, do you have any priors?
Well, that one time
I'll be honest, I'll be honest
We all liars
Let it go
[Pre-Chorus: Kanye West]
I'll be honest, we all liars
I'll be honest, we all liars
I'm pulled over and I got priors
Guess we goin' down, guess who's goin' to jail?
[Chorus: Kanye West]
Guess who's goin' to jail tonight?
Guess who's goin' to jail tonight?
Guess who's goin' to jail tonight?
God gon' post my bail tonight
[Verse 2: Kanye West & 
Dem Jointz
]
Don't you curse at mе on text, why you try to hit the flex?
I hold up, likе, ""What?""
I scroll, I scroll up like, ""Next""
Guess who's 
getting
 'exed?
Like
, next
Guess who's 
getting
 'exed?
You made a choice that's your bad, single life ain't
 so bad
But we ain't finna go there
Something's off, I'll tell you why
Guess who's goin' to jail tonight?
What a grand plan to sell you out
I could scream and shout, let it 
out
[Pre-Chorus: Kanye West]
I'll be honest, we all liars
I'll be honest, we all liars
I'm pulled over and I got priors
Guess we goin' down, guess who's goin' to jail?
[Chorus: Kanye West]
Guess who's goin' to jail tonight?
Guess who's goin' to jail tonight?
Guess who's goin' to jail tonight?
God gon' post my bail tonight
[Verse 3: JAY-Z]
God in my cells, that's my celly
Made in the image of God, that's a selfie
Pray five times a day, so many felonies
Who gon' post my bail? Lord, help me
Hol' up, Donda, I'm with your baby when I touch back road
Told him, ""Stop all of that red cap, we goin' home""
Not me with all of these sins, castin' stones
This might be the return of The Throne (Throne)
Hova and Yeezus, like Moses and Jesus
You are not in control of my thesis
You already know what I think 'bout think pieces
Before you ask, he already told you who he think he is
Don't try to jail my thoughts and think precincts
I can't be controlled with programs and presets
Reset
On my cell, in my cell tonight
Don't have to see you to touch you
This is what braille look like, it's on sight
If they take me to jail, call my girl, tell her send my mail
We know what Hell look like
Still, it's a hell of a life, yikes
[Chorus: Kanye West]
Guess who's goin' to jail tonight?
Guess who's goin' to jail tonight?
Guess who's goin' to jail tonight?
God gon' post my bail tonight"
Flume,Never Be Like You (feat. Kai),Lyrics Not Found
Swedish House Mafia,Moth To A Flame (with The Weeknd),"[Intro]
Oh-woah
Woah-oh-oh
Woah
[Verse]
Like a moth to a flame
I'll pull you in, I pulled you back to
What you need initially
It's just one call away
And you'll leave him, you're loyal to me
But this time, I let you be
[Pre-Chorus]
'Cause he seems like he's good for you
And he makes you feel like you should
And all your friends say he's the one
His love for you is true
[Chorus]
But does he know you call me when he sleeps?
But does he know the pictures that you keep?
But does he know the reasons that you cry?
Or tell me, does he know where your heart lies?
Where it truly lies
[Interlude]
Yeah
You should be with him, I let you go from time
You should stay with him
[Pre-Chorus]
'Cause he seems like he's good for you
And he makes you feel like you should
And all your friends say he's the one
His love for you is true (Hey)
[Chorus]
But does he know you call me when he sleeps? (No, no)
But does he know the pictures that you keep? (Oh)
But does he know the reasons that you cry?
Or tell me, does he know where your heart lies?
Where it truly lies
[Outro]
Right here with me, babe
Where it truly lies
My bed, babe
Where it truly lies
In my arms, babe
Where it truly lies
Where it truly lies
Where it truly lies
(Hey)
Where it truly lies"
Surf Curse,Freaks,"[Verse 1]
Don't kill me
Just help me run away from everyone
I need a place to stay
 
where I can cover up my face
Don't cry
, 
I am just a freak
[Chorus]
I am just a freak
I am just a freak
I am just a freak
[Verse 2]
My head is filled with parasites
Black holes
 
cover up my eyes
I dream of you almost every night
Hopefully, I won't wake up this time
[Chorus]
I won't wake up this time
I won't wake up this time
I won't wake up this time"
Magdalena Bay,Killshot - Slowed + Reverb,Lyrics Not Found
Rihanna,Love On The Brain,"[Verse 1]
And you got me like, oh
What you want from me? (
What you want from me?
)
And I tried to buy your pretty heart, but the price too high
Baby, you got me like, oh, mmm
You love when I fall apart (
Fall apart
)
So you can put me together and throw me against the wall
[Pre-Chorus]
Baby, you got me like, I, woo, I
Don't you stop loving me (
Loving me
)
Don't quit loving me (
Loving me
)
Just start loving me, oh (
Loving me
)
[Chorus]
And, babe, I'm fist-fighting with fire
Just to get close to you
Can we burn something, babe?
And I'll run for miles just to get a taste
Must be love on the brain
That's got me feeling this way (
Feeling this way
)
It beats me black and blue, but it fucks me so good
And I can't get enough
Must be love on the brain, yeah
And it keeps cursing my name (
Cursing my name
)
No matter what I do, I'm no good without you
And I can't get enough
Must be love on the brain
[Verse 2]
Baby, keep loving me
Just love me, yeah
Just love me
All you need to do is love me, yeah
Got me like, ow
I'm tired of being played like a violin
What do I gotta do to get in your motherfuckin' heart?
[Pre-Chorus]
Baby, like, I, woo I
Don't you stop loving me (
Loving me
)
Don't quit loving me (
Loving me
)
Just start loving me, ooh (
Loving me
)
[Chorus]
And, babe, I'm fist-fighting with fire
Just to get close to you
Can we burn something, babe?
And I'll run for miles just to get a taste
Must be love on the brain
That's got me feeling this way (
Feeling this way
)
It beats me black and blue, but it fucks me so good
And I can't get enough
Must be love on the brain, yeah
And it keeps cursing my name (
Cursing my name
)
No matter what I do, I'm no good without you
And I can't get enough
Must be love on the brain
[Click here to learn more about the making of ""Love on the Brain""]"
Gerry Rafferty,Right Down the Line,"[Verse 1]
You know I need your love
You've got that hold over me
Long as I've got your love
You know that I'll never leave
When I wanted you to share my life
I had no doubt in my mind
And it's been you, woman
Right down the line
[Verse 2]
I know how much I lean on you
Only you can see
The changes that I've been through
Have left a mark on me
You've been as 
constant as a Northern Star
The brightest light that shines
It's been you, woman
Right down the line
[Chorus]
I just wanna say this is my way
Of telling you everything
I could never say before
Yeah this is my way of telling you
That every day I'm loving you so much more
[Verse 3]
Cause you believed in me
Through my darkest night
Put something better inside of me
You brought me into the light
I threw away all those crazy dreams
I put them all behind
And it was you, woman
Right down the line
[Guitar Solo]
[Chorus]
I just wanna say this is my way
Of telling you everything
I could never say before
Yeah this is my way of telling you
That every day I'm loving you so much more
[Verse 4]
If I should doubt myself
If I'm losing ground
I won't turn to someone else
They'd only let me down
When I wanted you to share my life
I had no doubt in my mind
And it's been you, woman
Right down the line"
INXS,Never Tear Us Apart,"[Verse 1]
Don't ask me
What you know is true
Don't have to tell you
I love your precious heart
[Chorus]
I… I was standing
You were there
Two worlds collided
And they could never tear us apart
[Verse 2]
We could live for a thousand years
But if I hurt you
I'd make wine from your tears
I told you that we could fly
'Cause we all have wings
But some of us don't know why
[Chorus]
I was standing
You were there
Two worlds collided
And they could never, ever tear us apart
[Saxophone Solo]
[Chorus]
I… (Don't ask me)
I was standing  (You know it's true)
Mmm, you were there (Worlds collided)
Two worlds collided (We're shining through)
And they could never tear us apart
[Chorus]
You… (Don't ask me)
You were standing (You know it's true)
I was there (Worlds collided)
Two worlds collided (We're shining through)
And they could never tear us apart
[Outro]
I… I was standing
You were there"
BETWEEN FRIENDS,affection,"[Verse 1]
You're taking what you want right from me
Wrapped up in so much
Life is just the way you hold me
You pick your miscellaneously
Wrapped up in all the choices you're not giving to me
[Pre-Chorus]
I'm laying on the floor
We're drinking 'cause we're bored
[Chorus]
Oh, I'm looking for affection in all the wrong places
And we'll keep falling on each other to fill the empty spaces
(One more time)
Oh, I'm looking for affection in all the wrong places
And we'll keep falling on each other to  fill the empty spaces
[Verse 2]
You're saying what you want right to me
No filter on your mouth, we know you talk in your sleep
Remembering the times they won't remember me
Our nights melt into sequels, you sink into me
[Pre-Chorus]
I'm laying on the floor
We're drinking 'cause we're bored
[Chorus]
Oh, I'm looking for affection in all the wrong places
And we'll keep falling on each other to fill the empty spaces
(One more time)
Oh, I'm looking for affection in all the wrong places
And we'll keep falling on each other to fill the empty spaces
[Bridge]
Just a little bit of affection, a little bit
Just a little bit of affection, a little bit
Just a little bit, just a little bit
Just a little bit of, oh
[Chorus]
Oh, I'm looking for affection in all the wrong places
And we'll keep falling on each other to fill the empty spaces
(One more time)
Oh, I'm looking for affection in all the wrong places
And we'll keep falling on each other to fill the empty spaces"
NASAYA,PATTERNS,"[Verse 1]
How did I get here?
Tryna get both of my feet back on the ground
What am I doin'
When everyone else seems to have it figured out?
Yeah
[Chorus]
Ooh, baby, why
(Why you gotta do that to me?)
(Ooh, why you gotta do that to me?)
You made me cry
(Why you gotta do that to me?)
(Ooh, why you gotta do that to me?)
Why you gotta leave me on the throne?
Why you gotta leave me on the throne?
On the throne
[Verse 2]
So I keep it movin'
Learning a thing 'bout the way I was before
Yeah, yeah
The more that I'm losin'
The less that I get to stay on track with the score
Yeah
[Verse 3]
If we could travel on this earth forever
We could grow our wings together
Never care about the expectations
Because I love the way the wind feels when it's cold
The setting colors gettin' bold
And life is fine with a foundation
[Chorus]
Ooh, baby, why
(Why you gotta do that to me?)
(Ooh, why you gotta do that to me?)
You made me cry
(Why you gotta do that to me?)
(Ooh, why you gotta do that to me?)
Why you gotta leave me on the throne?
Why you gotta leave me on the throne?
On the throne
[Outro]
Why you gotta leave me on the throne?
Why you gotta leave me on the throne?
Leave me on the throne
On the throne"
